code_dpt,dpt,code_circ,circ,code_commune,commune,code_b_vote,cp,id_b_vote,inscrits,abstentions,p_abs/ins,votants,p_vot/ins,blancs,p_blancs/ins,p_blancs/vot,nuls,p_nuls/ins,p_nuls/vot,exprimés,p_exp/ins,p_exp/vot,n_panneau,sexe,nom,prenom,nuance,voix,p_voix/ins,p_voix/exp
84,Vaucluse,5,5ème circonscription,31,Carpentras,2,84031,Carpentras-2,846,475,56.15,371,43.85,5,0.59,1.35,3,0.35,0.81,363,42.91,97.84,-,-,abstention,-,-,475.0,56.15,0.0
84,Vaucluse,5,5ème circonscription,31,Carpentras,2,84031,Carpentras-2,846,475,56.15,371,43.85,5,0.59,1.35,3,0.35,0.81,363,42.91,97.84,-,-,blancs,-,-,5.0,0.59,1.35
84,Vaucluse,5,5ème circonscription,31,Carpentras,2,84031,Carpentras-2,846,475,56.15,371,43.85,5,0.59,1.35,3,0.35,0.81,363,42.91,97.84,-,-,nuls,-,-,3.0,0.35,0.81
84,Vaucluse,5,5ème circonscription,31,Carpentras,3,84031,Carpentras-3,852,432,50.7,420,49.3,8,0.94,1.9,3,0.35,0.71,409,48.0,97.38,-,-,abstention,-,-,432.0,50.7,0.0
84,Vaucluse,5,5ème circonscription,31,Carpentras,3,84031,Carpentras-3,852,432,50.7,420,49.3,8,0.94,1.9,3,0.35,0.71,409,48.0,97.38,-,-,blancs,-,-,8.0,0.94,1.9
84,Vaucluse,5,5ème circonscription,31,Carpentras,3,84031,Carpentras-3,852,432,50.7,420,49.3,8,0.94,1.9,3,0.35,0.71,409,48.0,97.38,-,-,nuls,-,-,3.0,0.35,0.71
84,Vaucluse,5,5ème circonscription,31,Carpentras,4,84031,Carpentras-4,1155,584,50.56,571,49.44,7,0.61,1.23,5,0.43,0.88,559,48.4,97.9,-,-,abstention,-,-,584.0,50.56,0.0
84,Vaucluse,5,5ème circonscription,31,Carpentras,4,84031,Carpentras-4,1155,584,50.56,571,49.44,7,0.61,1.23,5,0.43,0.88,559,48.4,97.9,-,-,blancs,-,-,7.0,0.61,1.23
84,Vaucluse,5,5ème circonscription,31,Carpentras,4,84031,Carpentras-4,1155,584,50.56,571,49.44,7,0.61,1.23,5,0.43,0.88,559,48.4,97.9,-,-,nuls,-,-,5.0,0.43,0.88
84,Vaucluse,5,5ème circonscription,31,Carpentras,5,84031,Carpentras-5,796,372,46.73,424,53.27,5,0.63,1.18,6,0.75,1.42,413,51.88,97.41,-,-,abstention,-,-,372.0,46.73,0.0
84,Vaucluse,5,5ème circonscription,31,Carpentras,5,84031,Carpentras-5,796,372,46.73,424,53.27,5,0.63,1.18,6,0.75,1.42,413,51.88,97.41,-,-,blancs,-,-,5.0,0.63,1.18
84,Vaucluse,5,5ème circonscription,31,Carpentras,5,84031,Carpentras-5,796,372,46.73,424,53.27,5,0.63,1.18,6,0.75,1.42,413,51.88,97.41,-,-,nuls,-,-,6.0,0.75,1.42
84,Vaucluse,5,5ème circonscription,31,Carpentras,6,84031,Carpentras-6,670,323,48.21,347,51.79,8,1.19,2.31,1,0.15,0.29,338,50.45,97.41,-,-,abstention,-,-,323.0,48.21,0.0
84,Vaucluse,5,5ème circonscription,31,Carpentras,6,84031,Carpentras-6,670,323,48.21,347,51.79,8,1.19,2.31,1,0.15,0.29,338,50.45,97.41,-,-,blancs,-,-,8.0,1.19,2.31
